,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_objective,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
202,1.6854872226715087,0.05576226096650649,0.0390167236328125,0.0011460067108988005,0.003,9,100,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 9, 'n_estimators': 100, 'objective': 'multi:softprob'}",0.9785069719557749,0.9790034491445219,0.9787139867133974,0.9777179260772256,0.9778876196114938,0.9783659907004827,0.0004891128421791459,403
203,3.2885341167449953,0.06333778072163626,0.06612834930419922,0.002493298946501479,0.003,9,200,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 9, 'n_estimators': 200, 'objective': 'multi:softprob'}",0.978919444892888,0.9793713687470957,0.979247228161237,0.9781302790781042,0.9783808537184651,0.9788098349195581,0.0004825906020912775,363
204,4.9269914627075195,0.04648733699336753,0.08912887573242187,0.0058726153521176435,0.003,9,300,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 9, 'n_estimators': 300, 'objective': 'multi:softprob'}",0.9792060671562042,0.9791635161698133,0.9792464654520547,0.9786255878620727,0.9789576488668332,0.9790398571013957,0.0002297744783750256,340
205,6.615704822540283,0.10721961500778869,0.10405492782592773,0.002149152506585617,0.003,9,400,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 9, 'n_estimators': 400, 'objective': 'multi:softprob'}",0.9797413400818369,0.9796154196633488,0.9789612823622628,0.9789543467334719,0.9794926524657598,0.979353008261336,0.0003321270974650026,319
206,8.331289958953857,0.20496025480496072,0.12829236984252929,0.015925143608226087,0.003,9,500,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 9, 'n_estimators': 500, 'objective': 'multi:softprob'}",0.9799475765675345,0.9798614057064079,0.9793717563088973,0.9790355042070072,0.9795747231649524,0.9795581931909598,0.0003322026395005993,300
207,0.6923047065734863,0.04468500616989667,0.02102184295654297,0.001268502934599654,0.003,10,30,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 10, 'n_estimators': 30, 'objective': 'multi:softprob'}",0.9784248660176078,0.9783846133070364,0.978837562402882,0.9777170628973737,0.9784597891549672,0.9783647787559735,0.0003622405484230888,404
208,0.8976186752319336,0.01563516664373366,0.02271871566772461,0.0008720217125729163,0.003,10,40,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 10, 'n_estimators': 40, 'objective': 'multi:softprob'}",0.978464001792365,0.9787546500794803,0.9787141946636583,0.9782117507072373,0.978541947786202,0.9785373090057886,0.0001948893788038182,384
209,1.045835542678833,0.021773791273685533,0.02461552619934082,0.0007339088208792992,0.003,10,50,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 10, 'n_estimators': 50, 'objective': 'multi:softprob'}",0.9787510541165834,0.9788777499046964,0.9789609302765165,0.9781297321570018,0.9785007666394931,0.9786440466188584,0.00030051010000776334,377
210,1.558400535583496,0.024114762109096025,0.03733983039855957,0.006993692014586531,0.003,10,75,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 10, 'n_estimators': 75, 'objective': 'multi:softprob'}",0.9786700740626063,0.9792479900619163,0.97920853905213,0.9782119836925588,0.9786659052902661,0.9788008984318954,0.0003868386058797027,365
211,2.049437665939331,0.045673040649724946,0.04251255989074707,0.0018478133625419975,0.003,10,100,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 10, 'n_estimators': 100, 'objective': 'multi:softprob'}",0.9785886746896652,0.9794941283179263,0.9792906775544109,0.9783755930651101,0.9782127847011413,0.9787923716656508,0.0005083087776361105,366
212,4.009188270568847,0.0607997679547224,0.07402048110961915,0.005739224720874637,0.003,10,200,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 10, 'n_estimators': 200, 'objective': 'multi:softprob'}",0.9796987264657155,0.9794107759804624,0.9797842996575106,0.9782526338273237,0.9787487999664062,0.9791790471794837,0.0005888038252797554,330
213,5.963960266113281,0.05924549132645299,0.09014801979064942,0.0028877677711290762,0.003,10,300,multi:softprob,"{'learning_rate': 0.003, 'max_depth': 10, 'n_estimators': 300, 'objective': 'multi:softprob'}",0.979658906153023,0.9798214433719267,0.9798658768523887,0.978871958450255,0.9796548876668976,0.9795746144988982,0.0003613952512892112,298
