mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,param_metric,param_leaf_size,param_algorithm,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Execution Time,Recall,Precision,Accuracy,F1,weights,p,n_neighbors,metric,leaf_size,algorithm
0.2596113681793213,0.018234124594076185,1.7892531394958495,0.07095657932107327,distance,2,6,euclidean,30,kd_tree,0.9635606636520858,0.963405743125528,0.9644370650169284,0.9634645815500046,0.9671268326197721,0.9643989771928638,0.0014145688131029417,11,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,distance,2,6,euclidean,30,kd_tree
0.2171936511993408,0.028644071885442688,29.07508978843689,1.291214516310255,uniform,2,1,euclidean,26,ball_tree,0.9602786232253387,0.9600123340244239,0.9619304360701063,0.9609431588419521,0.9636599746307475,0.9613649053585137,0.0013247260970475844,46,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,uniform,2,1,euclidean,26,ball_tree
0.29111490249633787,0.04595626767987902,2.333436298370361,0.19988565586327353,distance,1,2,manhattan,25,auto,0.9615656174369408,0.9613337535551093,0.9630956102591242,0.9617490775019976,0.96540796766811,0.9626304052842564,0.0015180965707828056,32,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,distance,1,2,manhattan,25,auto
0.32225351333618163,0.057489998418164046,3.9529351234436034,0.34611771172404593,distance,1,13,manhattan,22,auto,0.9631524015807298,0.9624081891235307,0.9635760498702491,0.9628171140076096,0.9645729884257039,0.9633053486015648,0.0007411950943650677,23,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,distance,1,13,manhattan,22,auto
0.027684783935546874,0.005439645290287625,56.487222814559935,5.443797189826435,distance,1,14,minkowski,32,brute,0.9631923537823507,0.9620804300678639,0.9634931965509386,0.9623706712565818,0.9644921878577597,0.9631257679030989,0.0008566729969386593,25,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,distance,1,14,minkowski,32,brute
0.27460370063781736,0.040782023926760565,2.0739014625549315,0.2696644935643852,distance,1,9,chebyshev,27,auto,0.9586255402623868,0.9586948185488343,0.9594604485663882,0.9580998099839161,0.9605850201086203,0.9590931274940292,0.0008630916352954888,68,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,distance,1,9,chebyshev,27,auto
0.26518821716308594,0.05347312986788742,1.9994088172912599,0.2298659117555518,distance,2,8,chebyshev,36,auto,0.9596554613237599,0.9598301497937857,0.96077898625285,0.959322044673467,0.9613614933901132,0.960189627086795,0.0007599830379646495,54,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,distance,2,8,chebyshev,36,auto
0.2571866512298584,0.033376829830244564,1.4869362831115722,0.22478950427656647,distance,2,3,minkowski,35,auto,0.9634252588664203,0.9634786746012742,0.963956715481126,0.9640699593831712,0.966437956212172,0.9642737129088326,0.0011115675523343154,13,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,distance,2,3,minkowski,35,auto
0.23414764404296876,0.03808994481129242,36.68064260482788,5.003287088143952,uniform,1,6,euclidean,20,ball_tree,0.9598002164009622,0.9595927302404996,0.9610303831829273,0.9605303265033253,0.9633920171523582,0.9608691346960144,0.001362169050452081,49,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,uniform,1,6,euclidean,20,ball_tree
1.1905888557434081,0.2173273138948125,18.45924973487854,0.8666424471066858,uniform,1,13,minkowski,34,kd_tree,0.9605764108790023,0.9593442158819527,0.9610050419688948,0.9596349189115035,0.9617568019987222,0.960463477928015,0.0008852107303078968,53,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,uniform,1,13,minkowski,34,kd_tree
